Make,Model,Configuration,Rating,Price,Registered,Kilometers,Fuel,Consumption,Tax,Power,Transmission,TowCapacity,PriceNew,Trunk,Width,Length,Height
Fiat,Punto,"0,9 TwinAir 100 Popstar 5d",3.9,34.900 kr.,5/2015,171.000 km,Benzin,"(NEDC) 26,3 km/l",840 kr. / år,100 hk/145 nm,Manuel,1.000 kg,143.620 kr.,-,169 cm,407 cm,149 cm
Citroën,C4,"1,6 BlueHDi 120 Feel Complet EAT6 5d",4.2,54.999 kr.,1/2016,251.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Automatisk,1.450 kg,252.993 kr.,-,179 cm,,
Mitsubishi,Outlander,"2,4 PHEV Invite CVT 4WD 5d",4.1,184.800 kr.,3/2019,64.000 km,Plug-in hybrid Benzin,"(NEDC) 31,4 km/l",1.160 kr. / år,224 hk/300 nm,Automatisk,1.500 kg,346.069 kr.,498 liter,180 cm,470 cm,170 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,200.000 kr.,6/2021,71.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,345.749 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Focus,"1,0 EcoBoost Titanium stc. 5d",4.3,159.900 kr.,7/2020,116.550 km,Benzin,"(NEDC) 25,0 km/l",1.260 kr. / år,125 hk/170 nm,Manuel,1.000 kg,248.876 kr.,608 liter,183 cm,,
Audi,A3,"1,4 e-tron Sportback S-tr. 5d",4.5,169.900 kr.,4/2018,76.790 km,Plug-in hybrid Benzin,"(NEDC) 35,1 km/l",1.080 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,365.003 kr.,280 liter,179 cm,431 cm,143 cm
VW,Golf VII,"1,6 TDi 115 Comfortline DSG 5d",4.6,109.900 kr.,6/2017,228.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,115 hk/250 nm,Automatisk,1.500 kg,280.697 kr.,380 liter,179 cm,,
Peugeot,508,"1,6 BlueHDi 120 Desire Sky SW 5d",4.4,99.900 kr.,8/2016,126.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.375 kg,-,-,185 cm,,
Kia,Ceed,"1,6 PHEV Upgrade+ SW DCT 5d",4.3,179.900 kr.,10/2020,91.000 km,Plug-in hybrid Benzin,"(NEDC) 47,1 km/l",940 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,341.913 kr.,427 liter,180 cm,461 cm,147 cm
Peugeot,208,"1,2 PureTech 100 Allure 5d",4.2,119.900 kr.,6/2020,113.100 km,Benzin,"(NEDC) 26,2 km/l",1.260 kr. / år,100 hk/205 nm,Manuel,1.200 kg,175.910 kr.,309 liter,177 cm,,
Ford,Fiesta,"1,0 EcoBoost mHEV Titanium 5d",4.2,144.500 kr.,8/2020,34.600 km,Benzin,"(WLTP) 19,6 km/l",1.260 kr. / år,125 hk/210 nm,Manuel,1.000 kg,169.042 kr.,303 liter,173 cm,,
Audi,A3,"1,4 e-tron Sport Sportback S-tr. 5d",·,169.900 kr.,9/2017,101.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,481.788 kr.,280 liter,179 cm,431 cm,143 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",·,179.800 kr.,12/2020,100.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Mercedes,A250 e,"1,3 AMG Line aut. 5d",4.5,274.300 kr.,11/2021,63.000 km,Plug-in hybrid Benzin,"(NEDC) 36,7 km/l",840 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,370 liter,180 cm,442 cm,144 cm
Citroën,C4,"1,6 BlueHDi 100 Challenge 5d",4.2,89.900 kr.,8/2017,107.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,100 hk/254 nm,Manuel,1.550 kg,179.993 kr.,-,179 cm,433 cm,149 cm
Citroën,Grand C4 Picasso,"1,6 BlueHDi 120 Intensive 7prs 5d",4.1,89.900 kr.,12/2015,207.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.500 kg,339.625 kr.,-,183 cm,,
Audi,A3,"1,6 TDi Attraction Sportback S-tr. 5d",·,65.900 kr.,4/2013,341.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,105 hk/250 nm,Automatisk,1.500 kg,348.940 kr.,-,179 cm,,
Ford,Focus,"1,5 TDCi 95 Trend 5d",4.3,57.000 kr.,5/2016,272.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,95 hk/270 nm,Manuel,1.200 kg,242.710 kr.,-,182 cm,436 cm,148 cm
Opel,Corsa,"1,5 D 102 Sport 5d",4.1,109.900 kr.,7/2020,92.000 km,Diesel,"(WLTP) 23,8 km/l",1.400 kr. / år,102 hk/250 nm,Manuel,1.200 kg,171.011 kr.,309 liter,177 cm,,
Ford,Kuga,"2,5 PHEV Titanium CVT 5d",4.4,168.000 kr.,6/2020,139.000 km,Plug-in hybrid Benzin,"(NEDC) 55,3 km/l",840 kr. / år,225 hk/-,Automatisk,1.200 kg,282.010 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,3008,"1,6 Hybrid Allure Pack LTD EAT8 5d",·,226.900 kr.,11/2021,55.000 km,Plug-in hybrid Benzin,"(NEDC) 39,0 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,345.809 kr.,395 liter,184 cm,445 cm,162 cm
Peugeot,308,"1,6 BlueHDi 120 Allure Sky 5d",4.3,89.900 kr.,1/2018,121.000 km,Diesel,"(NEDC) 32,3 km/l",1.400 kr. / år,120 hk/300 nm,Manuel,1.400 kg,219.991 kr.,420 liter,186 cm,,
Peugeot,208,"1,5 BlueHDi 100 Allure 5d",4.2,78.900 kr.,10/2019,84.000 km,Diesel,"(NEDC) 33,3 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.150 kg,175.909 kr.,309 liter,175 cm,406 cm,143 cm
Peugeot,308,"1,6 BlueHDi 120 Desire Sky 5d",4.3,114.400 kr.,1/2018,126.000 km,Diesel,"(NEDC) 32,3 km/l",1.400 kr. / år,120 hk/300 nm,Manuel,1.400 kg,254.990 kr.,-,180 cm,,
