Make,Model,Configuration,Rating,Price,Registered,Kilometers,Fuel,Consumption,Tax,Power,Transmission,TowCapacity,PriceNew,Trunk,Width,Length,Height
Citroën,C3,"1,6 BlueHDi 100 Seduction Upgrade 5d",4.1,46.900 kr.,6/2015,188.000 km,Diesel,"(NEDC) 33,3 km/l",240 kr. / år,100 hk/254 nm,Manuel,1.150 kg,149.000 kr.,-,173 cm,394 cm,152 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,259.700 kr.,12/2020,87.720 km,Plug-in hybrid Benzin,"(NEDC) 75,6 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,348.416 kr.,272 liter,180 cm,429 cm,148 cm
Peugeot,3008,"1,6 Hybrid First Selection EAT8 5d",4.4,204.900 kr.,3/2021,68.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,340.907 kr.,395 liter,184 cm,445 cm,162 cm
Seat,Leon,"1,4 eHybrid FR Sportstourer DSG 5d",4.4,189.500 kr.,3/2021,46.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",980 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,295.810 kr.,470 liter,180 cm,464 cm,146 cm
Kia,Optima,"2,0 PHEV SW aut. 5d",4.6,179.900 kr.,3/2020,86.000 km,Plug-in hybrid Benzin,"(WLTP) 66,7 km/l",1.040 kr. / år,205 hk/375 nm,Automatisk,1.500 kg,325.918 kr.,440 liter,186 cm,486 cm,147 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,169.900 kr.,8/2020,155.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Hyundai,i30,"1,6 CRDi 110 Active+ 5d",4.4,84.800 kr.,5/2015,135.000 km,Diesel,"(NEDC) 27,8 km/l",1.860 kr. / år,110 hk/280 nm,Manuel,1.500 kg,225.038 kr.,-,178 cm,430 cm,147 cm
Cupra,Formentor,"1,4 eHybrid DSG 5d",4.7,229.900 kr.,6/2021,75.000 km,Plug-in hybrid Benzin,"(WLTP) 83,3 km/l",980 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,325.810 kr.,345 liter,184 cm,445 cm,151 cm
Opel,Astra,"1,6 CDTi 110 Dynamic Sports Tourer 5d",4.0,79.700 kr.,1/2017,127.800 km,Diesel,"(NEDC) 28,6 km/l",1.040 kr. / år,110 hk/300 nm,Manuel,1.500 kg,-,-,181 cm,,
Opel,Astra,"1,3 CDTi 95 Sport eco 5d",4.0,44.800 kr.,4/2012,229.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,95 hk/190 nm,Manuel,1.000 kg,294.601 kr.,-,181 cm,,
Cupra,Formentor,"1,4 eHybrid DSG 5d",4.7,249.900 kr.,6/2021,39.000 km,Plug-in hybrid Benzin,"(WLTP) 83,3 km/l",980 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,325.810 kr.,345 liter,184 cm,445 cm,151 cm
Peugeot,308,"1,6 BlueHDi 120 Allure SW 5d",4.3,68.800 kr.,3/2015,182.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,301.640 kr.,-,180 cm,,
Hyundai,Tucson,"1,6 PHEV N-Line aut. 4WD 5d",4.2,269.900 kr.,10/2021,73.000 km,Plug-in hybrid Benzin,"(NEDC) 36,2 km/l",840 kr. / år,265 hk/350 nm,Automatisk,1.350 kg,390.816 kr.,558 liter,187 cm,450 cm,165 cm
Kia,Ceed,"1,6 PHEV Prestige SW DCT 5d",4.3,174.900 kr.,7/2021,92.000 km,Plug-in hybrid Benzin,"(NEDC) 47,1 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,255.722 kr.,437 liter,180 cm,161 cm,147 cm
Skoda,Octavia,"1,6 TDi 105 Ambition Combi DSG 5d",4.5,84.900 kr.,11/2013,218.000 km,Diesel,"(NEDC) 25,0 km/l",1.860 kr. / år,105 hk/250 nm,Automatisk,1.500 kg,288.000 kr.,-,181 cm,,
Ford,Kuga,"2,5 PHEV Titanium X CVT 5d",4.4,227.995 kr.,8/2020,31.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Skoda,Superb,"1,4 TSi iV Style Combi DSG 5d",4.6,289.900 kr.,7/2021,56.000 km,Plug-in hybrid Benzin,"(NEDC) 35,6 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,510 liter,186 cm,486 cm,151 cm
Kia,Niro,"1,6 HEV Attraction+ DCT 5d",4.5,149.900 kr.,2/2019,93.000 km,Hybrid (Benzin + El),"(NEDC) 29,7 km/l",1.160 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,296.019 kr.,427 liter,181 cm,,
Mercedes,B250 e,"1,3 Progressive Line aut. 5d",4.9,254.900 kr.,8/2020,62.000 km,Plug-in hybrid Benzin,"(NEDC) 34,0 km/l",1.080 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,445 liter,180 cm,442 cm,156 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,229.900 kr.,3/2021,62.000 km,Plug-in hybrid Benzin,"(NEDC) 43,0 km/l",980 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Audi,Q3,45 TFSi e S-line+ S-tr. 5d,·,289.900 kr.,5/2021,79.000 km,Plug-in hybrid Benzin,"(WLTP) 58,8 km/l",1.080 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,415.811 kr.,530 liter,185 cm,448 cm,162 cm
Citroën,Grand C4 Picasso,"2,0 BlueHDi 150 Intensive 7prs 5d",4.1,139.900 kr.,7/2015,131.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,150 hk/370 nm,Manuel,1.700 kg,354.545 kr.,-,183 cm,,
Peugeot,3008,"1,6 Hybrid Allure Pack LTD EAT8 5d",4.4,219.800 kr.,10/2021,40.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,345.809 kr.,395 liter,184 cm,445 cm,162 cm
Kia,Ceed,"1,6 CRDi 136 GT-Line 5d",4.3,79.900 kr.,6/2016,183.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,136 hk/280 nm,Manuel,1.500 kg,267.108 kr.,-,178 cm,,
Audi,A3,"1,4 e-tron Ambition Sportback S-tr. 5d",4.5,169.900 kr.,8/2016,78.500 km,Plug-in hybrid Benzin,"(NEDC) 32,7 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,451.250 kr.,280 liter,179 cm,431 cm,142 cm
Kia,Niro,"1,6 PHEV Advance DCT 5d",4.5,139.900 kr.,2/2019,114.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,289.276 kr.,324 liter,181 cm,436 cm,154 cm
Jeep,Compass,"1,3 4xe 80th Anniversary aut. 4x4 5d",4.3,204.400 kr.,4/2021,76.000 km,Plug-in hybrid Benzin,"(NEDC) 33,0 km/l",1.160 kr. / år,240 hk/-,Automatisk,1.250 kg,365.403 kr.,420 liter,182 cm,439 cm,166 cm
Mercedes,C350 e,"2,0 stc. aut. 5d",4.3,279.900 kr.,7/2015,87.000 km,Plug-in hybrid Benzin,"(NEDC) 30,0 km/l",840 kr. / år,279 hk/600 nm,Automatisk,1.600 kg,717.898 kr.,-,181 cm,470 cm,146 cm
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,144.900 kr.,2/2019,50.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,273.893 kr.,324 liter,181 cm,436 cm,154 cm
Kia,XCeed,"1,6 PHEV Upgrade DCT 5d",4.5,156.900 kr.,10/2020,93.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,265.919 kr.,291 liter,183 cm,440 cm,149 cm
Mitsubishi,Outlander,"2,4 PHEV Invite+ CVT 4WD 5d",4.1,183.900 kr.,1/2020,90.000 km,Plug-in hybrid Benzin,"(NEDC) 32,1 km/l",1.160 kr. / år,224 hk/300 nm,Automatisk,1.500 kg,295.914 kr.,498 liter,180 cm,470 cm,170 cm
Citroën,C3,"1,6 BlueHDi 100 Seduction Upgrade 5d",4.1,58.000 kr.,9/2015,149.000 km,Diesel,"(NEDC) 33,3 km/l",240 kr. / år,100 hk/254 nm,Manuel,1.150 kg,149.000 kr.,-,173 cm,,
Mercedes,CLA250 e,"1,3 Progressive Line Shooting Brake aut. 5d",5.0,284.900 kr.,6/2021,90.000 km,Plug-in hybrid Benzin,"(NEDC) 33,9 km/l",1.080 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,440 liter,183 cm,469 cm,144 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,169.800 kr.,8/2017,197.000 km,Plug-in hybrid Benzin,"(NEDC) 32,3 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,449.193 kr.,483 liter,183 cm,477 cm,148 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,229.800 kr.,4/2021,91.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.917 kr.,483 liter,183 cm,477 cm,152 cm
Peugeot,508,"1,6 Hybrid Allure Pack SW EAT8 5d",4.4,192.291 kr.,12/2021,49.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.340 kg,340.812 kr.,530 liter,186 cm,478 cm,142 cm
Skoda,Octavia,"1,4 TSi iV Combi DSG 5d",4.5,224.800 kr.,1/2021,66.500 km,Plug-in hybrid Benzin,"(NEDC) 110,0 km/l",840 kr. / år,204 hk/-,Automatisk,1.500 kg,318.295 kr.,490 liter,183 cm,469 cm,150 cm
Kia,Optima,"2,0 PHEV SW aut. 5d",4.6,129.990 kr.,11/2017,124.000 km,Plug-in hybrid Benzin,"(NEDC) 36,4 km/l",1.040 kr. / år,205 hk/375 nm,Automatisk,1.500 kg,361.694 kr.,-,186 cm,486 cm,147 cm
Volvo,V50,"1,6 D DRIVe 5d",4.4,24.900 kr.,3/2010,242.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,109 hk/240 nm,Manuel,1.300 kg,344.004 kr.,-,177 cm,,
Kia,Optima,"2,0 PHEV Advance+ 2 SW aut. 5d",4.6,158.851 kr.,3/2019,76.000 km,Plug-in hybrid Benzin,"(WLTP) 66,7 km/l",1.040 kr. / år,205 hk/375 nm,Automatisk,1.500 kg,-,440 liter,186 cm,486 cm,147 cm
MG,EHS,"1,5 PHEV Luxury 5d",4.0,199.800 kr.,4/2021,44.000 km,Plug-in hybrid Benzin,"(NEDC) 27,2 km/l",1.260 kr. / år,258 hk/370 nm,Automatisk,1.500 kg,289.999 kr.,448 liter,188 cm,457 cm,169 cm
Seat,Leon,"1,4 eHybrid Cupra Sportstourer DSG 5d",4.4,249.900 kr.,2/2021,94.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,338.409 kr.,470 liter,180 cm,464 cm,144 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,199.500 kr.,7/2020,129.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
MG,EHS,"1,5 PHEV Luxury 5d",4.0,184.900 kr.,10/2021,64.000 km,Plug-in hybrid Benzin,"(WLTP) 66,7 km/l",840 kr. / år,258 hk/370 nm,Automatisk,1.500 kg,289.999 kr.,448 liter,188 cm,457 cm,169 cm
Kia,Ceed,"1,6 PHEV Upgrade Premium SW DCT 5d",4.3,219.900 kr.,12/2021,71.000 km,Plug-in hybrid Benzin,"(WLTP) 66,7 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,-,437 liter,180 cm,161 cm,147 cm
VW,Golf VII,"1,6 TDi 110 Comfortline Variant BM 5d",4.6,84.500 kr.,5/2014,201.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,110 hk/250 nm,Manuel,1.000 kg,-,-,180 cm,,
Skoda,Octavia,"1,4 TSi iV Plus DSG 5d",4.5,229.900 kr.,7/2021,50.000 km,Plug-in hybrid Benzin,"(NEDC) 47,6 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,450 liter,183 cm,469 cm,149 cm
Ford,Kuga,"2,5 PHEV Titanium X CVT 5d",4.4,189.900 kr.,9/2020,45.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,292.010 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",·,199.900 kr.,8/2020,95.669 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,199.900 kr.,11/2019,127.300 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.912 kr.,483 liter,183 cm,477 cm,152 cm
BMW,330e,"2,0 Touring Sport Line aut. 5d",4.8,299.800 kr.,2/2021,115.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",1.040 kr. / år,292 hk/420 nm,Automatisk,1.500 kg,467.257 kr.,410 liter,183 cm,471 cm,144 cm
Jeep,Compass,"1,3 4xe S aut. 4x4 5d",4.3,219.900 kr.,3/2021,65.000 km,Plug-in hybrid Benzin,"(WLTP) 50,0 km/l",1.160 kr. / år,240 hk/-,Automatisk,1.250 kg,450.013 kr.,420 liter,182 cm,439 cm,166 cm
Kia,XCeed,"1,6 PHEV Upgrade DCT 5d",4.5,179.900 kr.,11/2021,53.000 km,Plug-in hybrid Benzin,"(NEDC) 38,5 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,285.719 kr.,291 liter,183 cm,440 cm,148 cm
Mercedes,A250 e,"1,3 Progressive aut. 5d",4.5,259.900 kr.,10/2020,48.000 km,Plug-in hybrid Benzin,"(NEDC) 36,7 km/l",1.040 kr. / år,218 hk/450 nm,Automatisk,1.600 kg,-,310 liter,180 cm,453 cm,144 cm
Audi,Q3,45 TFSi e Attitude+ S-tr. 5d,4.5,239.900 kr.,9/2021,90.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.700 kg,375.808 kr.,530 liter,185 cm,448 cm,162 cm
BMW,120d,"2,0 aut. 5d",4.6,159.900 kr.,1/2016,130.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,190 hk/400 nm,Automatisk,1.500 kg,403.588 kr.,-,177 cm,,
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,159.800 kr.,3/2019,37.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,273.893 kr.,324 liter,181 cm,436 cm,154 cm
Audi,A3,40 TFSi e Prestige Sportback S-tr. 5d,4.5,254.900 kr.,8/2021,76.100 km,Plug-in hybrid Benzin,"(WLTP) 100,0 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,350.810 kr.,280 liter,182 cm,434 cm,145 cm
Mercedes,A180 d,"1,5 Urban aut. 5d",4.7,154.900 kr.,3/2017,150.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,109 hk/260 nm,Automatisk,1.200 kg,-,-,178 cm,,
Volvo,XC40,"1,5 T4 ReCharge Inscription aut. 5d",4.5,239.900 kr.,1/2021,154.000 km,Plug-in hybrid Benzin,"(NEDC) 31,1 km/l",1.160 kr. / år,211 hk/405 nm,Automatisk,1.800 kg,533.003 kr.,460 liter,186 cm,443 cm,166 cm
Seat,Leon,"1,4 eHybrid FR Sportstourer DSG 5d",4.4,199.900 kr.,6/2021,79.630 km,Plug-in hybrid Benzin,"(NEDC) 42,9 km/l",980 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,288.400 kr.,470 liter,180 cm,464 cm,145 cm
Audi,Q3,45 TFSi e Attitude+ Sportback S-tr. 5d,4.5,264.995 kr.,7/2021,83.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",840 kr. / år,245 hk/400 nm,Automatisk,1.400 kg,390.810 kr.,530 liter,185 cm,451 cm,156 cm
VW,Passat,"1,4 GTE Highline Variant DSG 5d",4.3,179.990 kr.,3/2016,111.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,148 cm
VW,Passat,"1,4 GTE+ Pro Variant DSG 5d",4.3,224.800 kr.,5/2020,114.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,413.917 kr.,483 liter,183 cm,477 cm,152 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,234.800 kr.,11/2020,90.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.900 kg,415.917 kr.,483 liter,183 cm,477 cm,152 cm
Opel,Mokka X,"1,6 CDTi 110 Enjoy 5d",4.2,99.800 kr.,5/2017,134.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,110 hk/300 nm,Manuel,1.500 kg,244.527 kr.,-,178 cm,,
Kia,Niro,"1,6 PHEV Premium DCT 5d",·,169.900 kr.,1/2019,75.009 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,334.918 kr.,324 liter,181 cm,436 cm,154 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,279.500 kr.,6/2021,21.000 km,Plug-in hybrid Benzin,"(NEDC) 44,8 km/l",940 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Kia,Niro,"1,6 PHEV Comfort DCT 5d",4.5,134.900 kr.,11/2019,96.500 km,Plug-in hybrid Benzin,"(NEDC) 44,2 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,281.019 kr.,324 liter,181 cm,436 cm,154 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,224.900 kr.,4/2021,70.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",940 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Opel,Corsa,"1,2 T 100 CityLine 5d",4.1,139.900 kr.,7/2020,57.000 km,Benzin,"(NEDC) 26,2 km/l",1.260 kr. / år,100 hk/205 nm,Manuel,1.200 kg,145.912 kr.,309 liter,177 cm,,
Volvo,V40,"2,0 D4 190 Momentum 5d",4.3,159.900 kr.,6/2017,141.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,190 hk/400 nm,Manuel,1.500 kg,339.095 kr.,335 liter,180 cm,,
Opel,Grandland X,"1,6 Hybrid Ultimate aut. 5d",4.4,177.900 kr.,3/2021,90.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,224 hk/360 nm,Automatisk,1.250 kg,314.648 kr.,390 liter,186 cm,448 cm,161 cm
Hyundai,Tucson,"1,6 PHEV Advanced aut. 4WD 5d",4.2,269.500 kr.,10/2021,60.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,265 hk/350 nm,Automatisk,1.350 kg,375.815 kr.,558 liter,187 cm,450 cm,165 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,239.900 kr.,2/2021,67.300 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,364.306 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,308,"1,6 BlueHDi 120 Allure SW 5d",4.3,53.999 kr.,12/2014,193.000 km,Diesel,"(NEDC) 30,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,317.090 kr.,-,180 cm,,
Opel,Corsa,"1,2 T 100 Sport aut. 5d",4.1,149.900 kr.,11/2021,58.000 km,Benzin,"(WLTP) 18,5 km/l",1.360 kr. / år,100 hk/205 nm,Automatisk,1.200 kg,215.911 kr.,309 liter,177 cm,,
Ford,Kuga,"2,5 PHEV Titanium CVT 5d",4.4,239.000 kr.,1/2021,31.000 km,Plug-in hybrid Benzin,"(NEDC) 55,3 km/l",840 kr. / år,225 hk/-,Automatisk,1.000 kg,305.663 kr.,411 liter,188 cm,461 cm,166 cm
Renault,Clio V,"1,0 TCe 100 Zen 5d",4.5,114.500 kr.,11/2019,64.000 km,Benzin,"(NEDC) 25,6 km/l",1.260 kr. / år,100 hk/160 nm,Manuel,900 kg,144.920 kr.,340 liter,180 cm,,
VW,Passat,"1,4 GTE Highline+ Variant DSG 5d",4.3,249.900 kr.,3/2020,79.000 km,Plug-in hybrid Benzin,"(WLTP) 62,5 km/l",1.040 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,152 cm
Peugeot,3008,"1,6 Hybrid First Selection EAT8 5d",·,189.900 kr.,3/2021,89.000 km,Plug-in hybrid Benzin,"(NEDC) 39,2 km/l",1.040 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,340.907 kr.,395 liter,184 cm,445 cm,162 cm
Seat,Leon,"1,4 eHybrid FR DSG 5d",4.4,179.900 kr.,3/2021,68.500 km,Plug-in hybrid Benzin,"(NEDC) 100,8 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,278.410 kr.,270 liter,180 cm,437 cm,146 cm
VW,Passat,"1,4 GTE Highline Variant DSG 5d",4.3,194.900 kr.,2/2017,118.000 km,Plug-in hybrid Benzin,"(NEDC) 30,8 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,148 cm
VW,Golf VII,"1,6 TDi 105 Comfortline Variant BMT 5d",4.6,102.895 kr.,10/2016,148.000 km,Diesel,"(NEDC) 25,6 km/l",1.860 kr. / år,105 hk/250 nm,Manuel,1.500 kg,329.698 kr.,-,180 cm,,
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,159.900 kr.,1/2017,152.000 km,Plug-in hybrid Benzin,"(NEDC) 32,3 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,537.688 kr.,-,183 cm,477 cm,148 cm
Opel,Grandland X,"1,6 Hybrid Cosmo Prestige aut. 5d",4.4,174.800 kr.,8/2021,65.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,224 hk/360 nm,Automatisk,1.250 kg,305.814 kr.,390 liter,186 cm,448 cm,161 cm
Hyundai,i30,"1,6 CRDi 110 Premium 5d",4.4,96.900 kr.,8/2017,146.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/280 nm,Manuel,1.500 kg,262.295 kr.,-,180 cm,,
Peugeot,508,"1,6 BlueHDi 120 Desire Sky SW 5d",4.4,109.800 kr.,9/2016,120.000 km,Diesel,"(NEDC) 27,0 km/l",1.860 kr. / år,120 hk/300 nm,Manuel,1.375 kg,-,-,185 cm,,
Seat,Leon,"1,4 eHybrid FR DSG 5d",4.4,189.995 kr.,10/2020,89.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",980 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,285.586 kr.,270 liter,180 cm,437 cm,146 cm
Hyundai,Tucson,"1,6 PHEV Essential aut. 4WD 5d",4.2,259.900 kr.,9/2021,59.000 km,Plug-in hybrid Benzin,"(NEDC) 36,2 km/l",840 kr. / år,265 hk/350 nm,Automatisk,1.350 kg,340.814 kr.,558 liter,187 cm,450 cm,165 cm
Kia,Niro,"1,6 PHEV Advance DCT 5d",4.5,164.995 kr.,2/2021,90.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,285.718 kr.,324 liter,181 cm,436 cm,154 cm
Audi,A3,"1,4 e-tron Sport Sportback S-tr. 5d",4.5,164.800 kr.,6/2017,129.000 km,Plug-in hybrid Benzin,"(NEDC) 33,8 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.400 kg,481.788 kr.,280 liter,179 cm,431 cm,143 cm
Peugeot,308,"1,6 BlueHDi 120 Active SW 5d",4.3,69.900 kr.,5/2015,195.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,271.745 kr.,-,180 cm,,
Kia,XCeed,"1,6 PHEV Upgrade+ DCT 5d",4.5,189.999 kr.,8/2021,53.000 km,Plug-in hybrid Benzin,"(NEDC) 44,0 km/l",840 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,349.711 kr.,291 liter,183 cm,440 cm,149 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,229.900 kr.,5/2021,65.552 km,Plug-in hybrid Benzin,"(NEDC) 37,3 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.500 kg,345.749 kr.,411 liter,188 cm,461 cm,166 cm
Kia,XCeed,"1,6 PHEV Upgrade+ DCT 5d",4.5,174.700 kr.,4/2020,56.000 km,Plug-in hybrid Benzin,"(NEDC) 44,0 km/l",980 kr. / år,141 hk/265 nm,Automatisk,1.300 kg,344.910 kr.,291 liter,183 cm,440 cm,149 cm
Peugeot,308,"1,6 BlueHDi 120 Style SW 5d",4.3,75.600 kr.,1/2017,194.000 km,Diesel,"(NEDC) 31,3 km/l",1.040 kr. / år,120 hk/300 nm,Manuel,1.300 kg,279.993 kr.,-,180 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,172.000 kr.,7/2020,119.712 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,214.700 kr.,6/2020,87.700 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Skoda,Octavia,"1,4 TSi iV Plus DSG 5d",4.5,204.900 kr.,8/2021,75.000 km,Plug-in hybrid Benzin,"(WLTP) 100,0 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,362.949 kr.,450 liter,183 cm,469 cm,149 cm
Opel,Corsa,"1,5 D 102 Elegance 5d",4.1,119.900 kr.,4/2020,88.500 km,Diesel,"(NEDC) 34,4 km/l",1.400 kr. / år,102 hk/250 nm,Manuel,1.200 kg,170.913 kr.,309 liter,177 cm,,
